TensorBoard log directory: /home/blue-lobster/PycharmProjects/Model_California_Birds/outputs/output_20260314_130809/tensorboard
Launch with: tensorboard --logdir /home/blue-lobster/PycharmProjects/Model_California_Birds/outputs/output_20260314_130809/tensorboard
Number of classes: 657
Train batches: 13801
Val batches: 2431
Unexpected keys (fc_norm.bias, fc_norm.weight) found while loading pretrained weights. This may be expected if model is being adapted.

===== Epoch 1/500 (LR: 2.00e-07) =====
  Train Batch [4450/13801] | Loss: 19.4595 | Top1: 0.0035 | Top5: 0.0163
  Train Batch [4475/13801] | Loss: 19.4595 | Top1: 0.0036 | Top5: 0.0164
  Train Batch [4500/13801] | Loss: 19.4594 | Top1: 0.0037 | Top5: 0.0164
  Train Batch [4525/13801] | Loss: 19.4594 | Top1: 0.0037 | Top5: 0.0164
  Train Batch [4550/13801] | Loss: 19.4594 | Top1: 0.0037 | Top5: 0.0163
  Train Batch [4575/13801] | Loss: 19.4594 | Top1: 0.0037 | Top5: 0.0164
  Train Batch [4600/13801] | Loss: 19.4594 | Top1: 0.0037 | Top5: 0.0164
  Train Batch [4625/13801] | Loss: 19.4593 | Top1: 0.0038 | Top5: 0.0164
  Train Batch [4650/13801] | Loss: 19.4593 | Top1: 0.0038 | Top5: 0.0165
  Train Batch [4675/13801] | Loss: 19.4592 | Top1: 0.0039 | Top5: 0.0166
  Train Batch [4700/13801] | Loss: 19.4592 | Top1: 0.0039 | Top5: 0.0166
  Train Batch [4725/13801] | Loss: 19.4592 | Top1: 0.0039 | Top5: 0.0166
  Train Batch [4750/13801] | Loss: 19.4592 | Top1: 0.0039 | Top5: 0.0166
  Train Batch [4775/13801] | Loss: 19.4592 | Top1: 0.0041 | Top5: 0.0166
  Train Batch [4800/13801] | Loss: 19.4592 | Top1: 0.0041 | Top5: 0.0166
  Train Batch [4825/13801] | Loss: 19.4592 | Top1: 0.0041 | Top5: 0.0167
  Train Batch [4850/13801] | Loss: 19.4592 | Top1: 0.0041 | Top5: 0.0167
  Train Batch [4875/13801] | Loss: 19.4591 | Top1: 0.0042 | Top5: 0.0168
  Train Batch [4900/13801] | Loss: 19.4591 | Top1: 0.0042 | Top5: 0.0169
  Train Batch [4925/13801] | Loss: 19.4591 | Top1: 0.0042 | Top5: 0.0169
  Train Batch [4950/13801] | Loss: 19.4590 | Top1: 0.0042 | Top5: 0.0170
  Train Batch [4975/13801] | Loss: 19.4590 | Top1: 0.0042 | Top5: 0.0171
  Train Batch [5000/13801] | Loss: 19.4590 | Top1: 0.0043 | Top5: 0.0171
  Train Batch [5025/13801] | Loss: 19.4590 | Top1: 0.0042 | Top5: 0.0170
  Train Batch [5050/13801] | Loss: 19.4590 | Top1: 0.0043 | Top5: 0.0170
  Train Batch [5075/13801] | Loss: 19.4590 | Top1: 0.0043 | Top5: 0.0171
  Train Batch [5100/13801] | Loss: 19.4590 | Top1: 0.0043 | Top5: 0.0172
  Train Batch [5125/13801] | Loss: 19.4589 | Top1: 0.0043 | Top5: 0.0173
  Train Batch [5150/13801] | Loss: 19.4589 | Top1: 0.0043 | Top5: 0.0172
  Train Batch [5175/13801] | Loss: 19.4589 | Top1: 0.0043 | Top5: 0.0171
  Train Batch [5200/13801] | Loss: 19.4589 | Top1: 0.0044 | Top5: 0.0174
  Train Batch [5225/13801] | Loss: 19.4589 | Top1: 0.0044 | Top5: 0.0174
  Train Batch [5250/13801] | Loss: 19.4588 | Top1: 0.0044 | Top5: 0.0174
  Train Batch [5275/13801] | Loss: 19.4588 | Top1: 0.0045 | Top5: 0.0175
  Train Batch [5300/13801] | Loss: 19.4588 | Top1: 0.0045 | Top5: 0.0175
  Train Batch [5325/13801] | Loss: 19.4588 | Top1: 0.0046 | Top5: 0.0177
  Train Batch [5350/13801] | Loss: 19.4587 | Top1: 0.0045 | Top5: 0.0177
